"Mês Notificação";"casos confirmados";"ano"
"Fevereiro";21;"2018"
"Marco";189;"2018"
"Abril";184;"2018"
"Maio";544;"2018"
"Junho";1808;"2018"
"Julho";3463;"2018"
"Agosto";2211;"2018"
"Setembro";614;"2018"
"Outubro";225;"2018"
"Novembro";53;"2018"
"Dezembro";17;"2018"
"Total";9329;"2018"
"Janeiro";19;"2019"
"Fevereiro";44;"2019"
"Marco";34;"2019"
"Abril";34;"2019"
"Maio";62;"2019"
"Junho";464;"2019"
"Julho";3024;"2019"
"Agosto";5962;"2019"
"Setembro";4942;"2019"
"Outubro";3476;"2019"
"Novembro";2053;"2019"
"Dezembro";1319;"2019"
"Total";21433;"2019"
"Janeiro";1848;"2020"
"Fevereiro";2147;"2020"
"Marco";2608;"2020"
"Abril";823;"2020"
"Maio";69;"2020"
"Junho";71;"2020"
"Julho";83;"2020"
"Agosto";97;"2020"
"Setembro";101;"2020"
"Outubro";108;"2020"
"Novembro";71;"2020"
"Dezembro";125;"2020"
"Total";8151;"2020"
"Janeiro";178;"2021"
"Fevereiro";142;"2021"
"Marco";97;"2021"
"Abril";66;"2021"
"Maio";51;"2021"
"Junho";25;"2021"
"Julho";31;"2021"
"Agosto";25;"2021"
"Setembro";21;"2021"
"Outubro";25;"2021"
"Novembro";27;"2021"
"Dezembro";13;"2021"
"Total";701;"2021"
"Janeiro";9;"2021"
"Fevereiro";3;"2021"
"Marco";7;"2021"
"Abril";18;"2021"
"Maio";18;"2021"
"Junho";6;"2021"
"Julho";3;"2021"
"Agosto";2;"2021"
"Setembro";4;"2021"
"Outubro";11;"2021"
"Novembro";2;"2021"
"Total";83;"2021"